name,city,state,rating,reviews,phone,full_address,site,category,type
"Steady As You Grow, LLC",Okeechobee,Florida,5.0,3.0,+1 863-417-5395,"410 NW 3rd St, Okeechobee, FL 34972",https://www.saygrow.com/,Accounting firm,Accounting firm
"Thomas McNulty CPA, LLC",Jupiter,Florida,5.0,6.0,+1 561-609-1040,"6650 W Indiantown Rd #100, Jupiter, FL 33458",http://mcnultycpa.com/,Accountant,Accountant
"Odom, Moses & Company, LLP, CPAs",Lake City,Florida,5.0,3.0,+1 386-752-4621,"4641 W US Hwy 90, Lake City, FL 32055",http://www.odommoses.com/,Accountant,Accountant
East Coast Tax and Financial Planning,Vero Beach,Florida,5.0,13.0,+1 772-774-7970,"2945 Cardinal Dr, Vero Beach, FL 32963",https://www.eastcoasttaxandfinancial.com/,Financial planner,Financial planner
Nelson & McKay CPAs LLC,Tampa,Florida,5.0,14.0,+1 813-286-7946,"5422 Bay Center Dr UNIT 130, Tampa, FL 33609",http://www.nm-cpa.com/,Certified public accountant,Certified public accountant
PTN Accounting LLC,Boynton Beach,Florida,5.0,21.0,+1 561-889-5085,"8198 Jog Rd Unit 104, Boynton Beach, FL 33472",http://www.ptnaccounting.com/,Accounting firm,Accounting firm
"John T. Holz, CPA",Lake Worth Corridor,Florida,5.0,2.0,+1 561-337-4343,"3003 S Congress Ave, Lake Worth Corridor, FL 33462",,Accountant,Accountant
FutureFy Tax & Accounting Solutions (Marlon M Wolfman CPA PA),Boynton Beach,Florida,5.0,16.0,+1 561-600-0242,"8198 Jog Rd Unit 104, Boynton Beach, FL 33472",http://www.futurefytax.com/,Accounting firm,Accounting firm
Compact Financial,Greenacres,Florida,5.0,13.0,+1 561-437-1050,"6801 Lake Worth Rd Suite108, Greenacres, FL 33467",,Tax preparation service,Tax preparation service
Accountax Advisor,Greenacres,Florida,5.0,20.0,+1 561-623-5829,"7950 S Military Trl # 201, Greenacres, FL 33463",https://www.accountaxadvisor.com/,Tax preparation service,Tax preparation service
